1.40161	0.271289	0.0908396	-1.30457	0.261411
1.40908	0.267253	0.089488	-1.31956	0.262266
1.43312	0.254675	0.0852765	-1.36777	0.265025
1.44448	0.248939	0.0833557	-1.39055	0.266335
1.44585	0.248259	0.0831279	-1.39328	0.266492
1.45019	0.246109	0.0824079	-1.40198	0.266994
1.47834	0.232597	0.0778838	-1.45845	0.270262
1.48527	0.229387	0.076809	-1.47234	0.27107
1.49194	0.226343	0.0757897	-1.4857	0.271847
1.5074	0.219431	0.0734753	-1.51672	0.273658
1.50909	0.218689	0.0732266	-1.52011	0.273856
1.51722	0.215154	0.0720429	-1.5364	0.274811
1.53633	0.207064	0.069334	-1.57473	0.277063
1.54124	0.205038	0.0686558	-1.58456	0.277642
1.55997	0.197478	0.0661244	-1.62213	0.279861
1.6288	0.172019	0.0575995	-1.76015	0.288089
1.62948	0.171786	0.0575215	-1.7615	0.28817
1.63521	0.169823	0.0568641	-1.773	0.288861
1.673	0.157431	0.0527148	-1.84877	0.293432
1.68182	0.154671	0.0517908	-1.86645	0.294503
1.72111	0.142951	0.0478663	-1.94525	0.299298
1.72121	0.142924	0.0478572	-1.94544	0.29931
1.732	0.139865	0.0468328	-1.96708	0.300632
1.73679	0.138526	0.0463847	-1.9767	0.301221
1.75779	0.132815	0.0444724	-2.0188	0.303803
1.76334	0.131345	0.04398	-2.02993	0.304487
1.77514	0.128273	0.0429515	-2.05359	0.305943
1.7862	0.125461	0.0420099	-2.07576	0.30731
1.79577	0.123075	0.041211	-2.09496	0.308496
1.7998	0.122085	0.0408795	-2.10303	0.308995
1.81441	0.11856	0.0396991	-2.13234	0.310809
1.82812	0.115345	0.0386225	-2.15983	0.312516
1.83528	0.113701	0.0380721	-2.17418	0.313407
1.83752	0.113191	0.0379013	-2.17868	0.313687
1.86832	0.106411	0.0356312	-2.24044	0.317537
1.89366	0.10114	0.0338661	-2.29125	0.320717
1.89441	0.100989	0.0338156	-2.29274	0.320811
1.92893	0.0942338	0.0315536	-2.36198	0.325162
1.94204	0.0917894	0.0307351	-2.38826	0.326819
1.94664	0.090947	0.030453	-2.39748	0.327401
1.99132	0.0831521	0.027843	-2.48708	0.333073
